Rua Carlos Vasconcelos, Fortaleza - Ceará, Brasil
Rua Padre Valdevino, Fortaleza - Ceará, Brasil
Rua Visconde de Mauá, Fortaleza - Ceará, Brasil
Rua Tibúrcio Cavalcante, Fortaleza - Ceará, Brasil
Rua Barão de Aracati, Fortaleza - Ceará, Brasil
Avenida Washington Soares, Fortaleza - Ceará, Brasil
Avenida Beira Mar, Fortaleza - Ceará, Brasil
Avenida Dom Luís, Fortaleza - Ceará, Brasil
Av. Santos Dumont, Fortaleza - Ceará, Brasil
Avenida Antônio Sales, Fortaleza - Ceará, Brasil
Avenida da Abolição, Fortaleza - Ceará, Brasil
Avenida Desembargador Moreira, Fortaleza - Ceará, Brasil
Av. Rui Barbosa, Fortaleza - Ceará, Brasil
Rua Pedro Pereira, Fortaleza - Ceará, Brasil
Avenida Duque de Caxias, Fortaleza - Ceará, Brasil
Rua Pedro I, Fortaleza - Ceará, Brasil
Rua Senador Pompeu, Fortaleza - Ceará, Brasil
Rua 24 de Maio, Fortaleza - Ceará, Brasil
Rua Floriano Peixoto, Fortaleza - Ceará, Brasil
Rua João Cordeiro, Fortaleza - Ceará, Brasil
